Action,locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
Added,False,"Hampton Street, Walworth",2,-0.101536865,True,51.49217002,False,152,18
Added,False,"Bayswater Road, Hyde Park",19,-0.174292825,True,51.51183419,False,153,7
Added,False,"Waterloo Station 3, Waterloo",7,-0.11282408,True,51.50379168,False,154,24
Added,False,"Lexham Gardens, Kensington",2,-0.191933711,True,51.49586666,False,155,16
Added,False,"New Kent Road, Borough",1,-0.092921165,True,51.49443626,False,156,32
Added,False,"Wright's Lane, Kensington",37,-0.193068385,True,51.50039792,False,157,0
Added,False,"Trebovir Road, Earl's Court",7,-0.196170309,True,51.49085368,False,158,10
Added,False,"Waterloo Place, St. James's",19,-0.131773845,True,51.50663341,False,160,1
Added,False,"Guildhouse Street, Victoria",5,-0.14133448699999998,True,51.49234577,False,161,11
Added,False,"Southampton Place, Holborn",20,-0.12132840800000001,True,51.51760685,False,162,0
Added,False,"Sloane Avenue, Knightsbridge",14,-0.167894973,True,51.4931848,False,163,15
Added,False,"Cleveland Gardens, Bayswater",2,-0.183118788,True,51.515607,False,164,14
Added,False,"Orsett Terrace, Bayswater",1,-0.18371695899999999,True,51.517932,False,165,14
Added,False,"Seville Street, Knightsbridge",13,-0.159237081,True,51.50185512,False,166,14
Added,False,"Eccleston Place, Victoria",11,-0.147624377,True,51.49395092,False,167,8
Added,False,"Argyll Road, Kensington",4,-0.195455928,True,51.50040123,False,168,15
Added,False,"Porchester Place, Paddington",14,-0.16516428800000002,True,51.51474612,False,169,4
Added,False,"Hardwick Street, Clerkenwell",19,-0.108068155,True,51.52784273,False,170,11
Added,False,"Collingham Gardens, Earl's Court",0,-0.186753859,True,51.4916156,False,171,14
Added,False,"Sumner Place, South Kensington",13,-0.17371591100000003,True,51.49121192,False,172,5
Added,False,"Waterloo Roundabout, Waterloo ",3,-0.113001,True,51.50486,False,173,12
Added,False,"Strand, Strand",36,-0.11516300000000002,True,51.512529,False,174,0
Added,False,"Appold Street, Liverpool Street",26,-0.0811189,True,51.52174384,False,175,0
Added,False,"Gloucester Terrace, Bayswater",6,-0.188098863,True,51.51791921,False,176,17
Added,False,"Ashley Place, Victoria",14,-0.140947636,True,51.49616092,False,177,11
Added,False,"Warwick Square, Pimlico",0,-0.141923621,True,51.48985626,False,178,18
Added,False,"North Audley Street, Mayfair",9,-0.153645496,True,51.5129118,False,180,8
Added,False,"Belgrave Square, Belgravia",3,-0.152317537,True,51.49941247,False,181,18
Added,False,"Bell Street , Marylebone",1,-0.165842551,True,51.52202903,False,182,17
Added,False,"Portland Place, Marylebone",33,-0.14521173,True,51.52071513,False,184,1
Added,False,"Alderney Street, Pimlico",1,-0.140741432,True,51.48805753,False,185,13
Added,False,"South Wharf Road, Paddington",9,-0.175810943,True,51.51733558,False,186,5
Added,False,"
      Queen's Gate (South), South Kensington
    ",6,-0.17843300399999998,True,51.49247977,False,187,19
Added,False,"Nutford Place, Marylebone",17,-0.164393768,True,51.516517900000004,False,188,1
Added,False,"Claremont Square, Angel",11,-0.109914711,True,51.53166681,False,189,7
Added,False,"Rampayne Street, Pimlico",5,-0.132845681,True,51.48997562,False,190,16
Added,False,"Hyde Park Corner, Hyde Park",3,-0.153520935,True,51.50311799,False,191,21
Added,False,"Wardour Street, Soho",14,-0.133201961,True,51.51251523,False,192,0
Added,False,"Bankside Mix, Bankside",42,-0.10018633699999999,True,51.50581776,False,193,16
Added,False,"Hop Exchange, The Borough",15,-0.091773776,True,51.50462759,False,194,41
Added,False,"Milroy Walk, South Bank",15,-0.106237501,True,51.50724437,False,195,15
Added,False,"Union Street, The Borough",9,-0.098497684,True,51.50368837,False,196,8
Added,False,"Stamford Street, South Bank",5,-0.11160669599999999,True,51.50556905,False,197,21
Added,False,"Great Tower Street, Monument",22,-0.082989638,True,51.51048489,False,199,2
Added,False,"LMU Commercial Road, Whitechapel",2,-0.066078037,True,51.51492456,False,200,12
Added,False,"Dorset Square, Marylebone",0,-0.161113413,True,51.522596500000006,False,201,16
Added,False,"Leman Street, Aldgate",14,-0.06954201,True,51.51236389,False,202,23
Added,False,"West Smithfield Rotunda, Farringdon",13,-0.100791005,True,51.51821864,False,203,2
Added,False,"Margery Street, Clerkenwell",10,-0.112432615,True,51.52659961,False,204,9
Added,False,"New Road  2, Whitechapel",5,-0.06275,True,51.518144,False,205,13
Added,False,"New Road 1 , Whitechapel",10,-0.062697,True,51.518153999999996,False,206,8
Added,False,"Grosvenor Crescent, Belgravia",14,-0.153194766,True,51.50135267,False,207,4
Added,False,"Mallory Street, Marylebone",14,-0.166304359,True,51.52505151,False,208,6
Added,False,"Denyer Street, Knightsbridge",22,-0.16510139199999999,True,51.49358391,False,209,7
Added,False,"Hinde Street, Marylebone",20,-0.151926305,True,51.51681444,False,210,1
Added,False,"Cadogan Place, Knightsbridge",12,-0.158105512,True,51.49464523,False,211,22
Added,False,"Campden Hill Road, Notting Hill",13,-0.19900402600000003,True,51.50658458,False,212,4
Added,False,"Wellington Arch, Hyde Park",32,-0.14956920099999998,True,51.50274025,False,213,3
Added,False,"Endsleigh Gardens, Euston",11,-0.130504336,True,51.52683806,False,214,21
Added,False,"Moorfields, Moorgate",52,-0.088285377,True,51.51906932,False,215,0
Added,False,"Old Brompton Road, South Kensington",14,-0.181190899,True,51.49094565,False,216,16
Added,False,"Wormwood Street, Liverpool Street",11,-0.08242239900000001,True,51.51615461,False,217,5
Added,False,"St. Luke's Church, Chelsea",12,-0.17019440800000002,True,51.48971651,False,218,8
Added,False,"Bramham Gardens, Earl's Court",6,-0.19039362,True,51.49016361,False,219,21
Added,False,"Chelsea Green, Chelsea",10,-0.166485083,True,51.49066456,False,220,16
Added,False,"Horseferry Road, Westminster",11,-0.13045856,True,51.49481649,False,221,5
Added,False,"Knightsbridge, Hyde Park",35,-0.155349725,True,51.50275704,False,222,8
Added,False,"Rodney Road , Walworth",1,-0.090220911,True,51.49148474,False,223,23
Added,False,"Whiteley's, Bayswater",0,-0.18812973100000002,True,51.51476963,False,224,16
Added,False,"Notting Hill Gate Station, Notting Hill",22,-0.196422,True,51.50935342,False,225,8
Added,False,"Charles II Street, West End",23,-0.131961389,True,51.50844614,False,226,1
Added,False,"Great Percy Street, Clerkenwell",6,-0.115480888,True,51.52891573,False,227,17
Added,False,"St. James's Square, St. James's",39,-0.134621209,True,51.50742485,False,228,0
Added,False,"Whitehall Place, Strand",21,-0.12317969699999999,True,51.50654321,False,229,3
Added,False,"Poured Lines, Bankside",11,-0.10313742599999999,True,51.50669284,False,230,19
Added,False,"
      Queen's Gate (Central), South Kensington
    ",3,-0.17873226,True,51.49396755,False,231,28
Added,False,"Carey Street, Holborn",16,-0.11275321699999999,True,51.51501025,False,232,0
Added,False,"Pall Mall East, West End",22,-0.130699733,True,51.50777049,False,233,0
Added,False,"Liverpool Road (N1 Centre), Angel",13,-0.10699270599999999,True,51.53450449,False,234,11
Added,False,"Kennington Road  , Vauxhall",1,-0.11088927400000001,True,51.49571828,False,235,35
Added,False,"Fashion Street, Whitechapel",30,-0.073438925,True,51.51838043,False,236,0
Added,False,"Vaughan Way, Wapping",10,-0.067176443,True,51.5084448,False,237,41
Added,False,"Frampton Street, Paddington",12,-0.175116099,True,51.5233534,False,238,20
Added,False,"Warren Street Station, Euston",25,-0.138019439,True,51.52443845,False,239,0
Added,False,"Colombo Street, Southwark",12,-0.10569204,True,51.50545935,False,240,3
Added,False,"Beaumont Street, Marylebone",21,-0.151359288,True,51.52200801,False,242,1
Added,False,"Gloucester Street, Pimlico",1,-0.139625122,True,51.49096258,False,243,23
Added,False,"Earnshaw Street , Covent Garden",18,-0.128585022,True,51.51611887,False,244,0
Added,False,"Grosvenor Road, Pimlico",0,-0.142207481,True,51.4853572,False,245,28
Added,False,"Berry Street, Clerkenwell",39,-0.09999405199999999,True,51.52285301,False,246,2
Added,False,"
      St. John's Wood Church, Regent's Park
    ",23,-0.16831400000000002,True,51.530052000000005,False,247,27
Added,False,"Triangle Car Park, Hyde Park",11,-0.170279555,True,51.50645179,False,248,16
Added,False,"Harper Road, Borough",8,-0.096191134,True,51.49859784,False,249,34
Added,False,"Royal Avenue 1, Chelsea",10,-0.162727,True,51.489932,False,250,0
Added,False,"Brushfield Street, Liverpool Street",32,-0.079249,True,51.518908,False,251,1
Added,False,"Jubilee Gardens, South Bank",18,-0.11654227800000001,True,51.5046364,False,252,11
Added,False,"Shoreditch Park, Hoxton",0,-0.086379717,True,51.53404294,False,253,28
Added,False,"Chadwell Street, Angel",10,-0.106408455,True,51.53051587,False,254,7
Added,False,"Clifton Road, Maida Vale",0,-0.179592915,True,51.52557531,False,255,22
Added,False,"Houghton Street, Strand",15,-0.11676421099999999,True,51.51362054,False,256,0
Added,False,"Westminster University, Marylebone",15,-0.154907218,True,51.52248185,False,257,1
Added,False,"Kensington Gore, Knightsbridge",19,-0.17865697100000003,True,51.50143293,False,258,4
Added,False,"Embankment (Horse Guards), Westminster",20,-0.123247648,True,51.50494561,False,259,9
Added,False,"Broadwick Street, Soho",18,-0.13558087900000002,True,51.513684600000005,False,260,0
Added,False,"Princes Square, Bayswater",0,-0.191351186,True,51.5134891,False,261,16
Added,False,"
      LSBU (Borough Road), Elephant & Castle
    ",11,-0.103132904,True,51.49874469,False,262,24
Added,False,"St. Mary Axe, Aldgate",17,-0.080660083,True,51.51422502,False,263,3
Added,False,"Tysoe Street, Clerkenwell",9,-0.10925682800000001,True,51.52644342,False,264,11
Added,False,"Southwick Street, Paddington",2,-0.169249375,True,51.51595344,False,265,15
Added,False,"Queen's Gate (North), Kensington",14,-0.18024610100000002,True,51.50102668,False,266,5
Added,False,"Regency Street, Westminster",0,-0.13222462199999999,True,51.49206037,False,267,21
Added,False,"Belgrave Road, Victoria",0,-0.144132875,True,51.49320445,False,268,28
Added,False,"Empire Square, The Borough",6,-0.089740764,True,51.50082346,False,269,39
Added,False,"Kennington Lane Rail Bridge, Vauxhall",3,-0.122492418,True,51.4863434,False,270,32
Added,False,"London Zoo, Regents Park",24,-0.156285395,True,51.53583617,False,271,6
Added,False,"Baylis Road, Waterloo",11,-0.11069930900000001,True,51.50144456,False,272,10
Added,False,"Belvedere Road, South Bank",25,-0.114686385,True,51.50613324,False,273,13
Added,False,"Warwick Road, Olympia",31,-0.20528437,True,51.49671237,False,274,5
Added,False,"Barbican Centre, Barbican",17,-0.092176447,True,51.52004497,False,275,2
Added,False,"Lower Thames Street, Monument",22,-0.084985356,True,51.50930161,False,276,2
Added,False,"Kensington Church Street, Kensington",10,-0.191496313,True,51.50315739,False,277,5
Added,False,"Tooley Street, Bermondsey",8,-0.07962099,True,51.503493799999994,False,278,9
Added,False,"North Wharf Road, Paddington",20,-0.176645823,True,51.51862243,False,279,5
Added,False,"Royal Avenue 2, Chelsea",9,-0.162418,True,51.490083,False,280,1
Added,False,"Smith Square, Westminster",18,-0.127575233,True,51.49580589,False,281,0
Added,False,"Royal London Hospital, Whitechapel",29,-0.059642081,True,51.51906446,False,282,12
Added,False,"Kingsway, Covent Garden",13,-0.11847875699999999,True,51.51440928,False,283,3
Added,False,"Lambeth North Station, Waterloo",9,-0.112031483,True,51.49914063,False,284,10
Added,False,"
      St. John's Wood Road, St. John's Wood
    ",21,-0.174653609,True,51.527294700000006,False,286,13
Added,False,"Bedford Way, Bloomsbury",12,-0.128377673,True,51.52367314,False,287,11
Added,False,"Elizabeth Bridge, Victoria",0,-0.147478734,True,51.49236962,False,288,34
Added,False,"South Audley Street, Mayfair",14,-0.151296092,True,51.50923022,False,289,1
Added,False,"Winsland Street, Paddington",2,-0.175488803,True,51.51678023,False,290,13
Added,False,"Claverton Street, Pimlico",1,-0.13808906199999998,True,51.48483991,False,291,30
Added,False,"Montpelier Street, Knightsbridge",9,-0.165471605,True,51.49888404,False,292,7
Added,False,"Kensington Olympia Station, Olympia",12,-0.209494128,True,51.49815779,False,293,13
Added,False,"St. George's Square, Pimlico",3,-0.135635511,True,51.488226,False,294,13
Added,False,"Swan Street, The Borough",1,-0.092762704,True,51.50029631,False,295,25
Added,False,"Knaresborough Place, Earl's Court",0,-0.19060332600000002,True,51.49363156,False,296,18
Added,False,"Geraldine Street, Elephant & Castle",6,-0.106000855,True,51.49612799,False,297,10
Added,False,"Curlew Street, Shad Thames",0,-0.074189225,True,51.50227992,False,298,18
Added,False,"Vincent Square, Westminster",4,-0.136928582,True,51.49398524,False,299,15
Added,False,"Serpentine Car Park, Hyde Park",6,-0.17272955899999998,True,51.50501351,False,300,2
Added,False,"Marylebone Lane, Marylebone",24,-0.148105415,True,51.51475963,False,301,0
Added,False,"Albert Gate, Hyde Park",5,-0.158456089,True,51.50295379,False,303,19
Added,False,"Cumberland Gate, Hyde Park",4,-0.16209757,True,51.51211869,False,304,14
Added,False,"Kennington Lane Tesco, Vauxhall",0,-0.11585396099999999,True,51.48677988,False,305,15
