locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
false,"Warren Street Station, Euston",25,-0.138019439,true,51.52443845,false,239,0
false,"Frampton Street, Paddington",12,-0.175116099,true,51.5233534,false,238,20
false,"Vaughan Way, Wapping",10,-0.067176443,true,51.5084448,false,237,41
false,"Fashion Street, Whitechapel",30,-0.073438925,true,51.51838043,false,236,0
false,"Kennington Road  , Vauxhall",1,-0.110889274,true,51.49571828,false,235,35
false,"Liverpool Road (N1 Centre), Angel",13,-0.106992706,true,51.53450449,false,234,11
false,"Pall Mall East, West End",22,-0.130699733,true,51.50777049,false,233,0
false,"Carey Street, Holborn",16,-0.112753217,true,51.51501025,false,232,0
false,"
      Queen's Gate (Central), South Kensington
    ",3,-0.17873226,true,51.49396755,false,231,28
false,"Poured Lines, Bankside",11,-0.103137426,true,51.50669284,false,230,19
false,"Whitehall Place, Strand",21,-0.123179697,true,51.50654321,false,229,3
false,"St. James's Square, St. James's",39,-0.134621209,true,51.50742485,false,228,0
false,"Great Percy Street, Clerkenwell",6,-0.115480888,true,51.52891573,false,227,17
false,"Charles II Street, West End",23,-0.131961389,true,51.50844614,false,226,1
false,"Notting Hill Gate Station, Notting Hill",22,-0.196422,true,51.50935342,false,225,8
false,"Whiteley's, Bayswater",0,-0.188129731,true,51.51476963,false,224,16
false,"Chadwell Street, Angel",10,-0.106408455,true,51.53051587,false,254,7
false,"Clifton Road, Maida Vale",0,-0.179592915,true,51.52557531,false,255,22
false,"Jubilee Gardens, South Bank",18,-0.116542278,true,51.5046364,false,252,11
false,"Shoreditch Park, Hoxton",0,-0.086379717,true,51.53404294,false,253,28
false,"Royal Avenue 1, Chelsea",10,-0.162727,true,51.489932,false,250,0
false,"Brushfield Street, Liverpool Street",32,-0.079249,true,51.518908,false,251,1
false,"Triangle Car Park, Hyde Park",11,-0.170279555,true,51.50645179,false,248,16
false,"Harper Road, Borough",8,-0.096191134,true,51.49859784,false,249,34
false,"Berry Street, Clerkenwell",39,-0.099994052,true,51.52285301,false,246,2
false,"
      St. John's Wood Church, Regent's Park
    ",23,-0.168314,true,51.530052,false,247,27
false,"Earnshaw Street , Covent Garden",18,-0.128585022,true,51.51611887,false,244,0
false,"Grosvenor Road, Pimlico",0,-0.142207481,true,51.4853572,false,245,28
false,"Beaumont Street, Marylebone",21,-0.151359288,true,51.52200801,false,242,1
false,"Gloucester Street, Pimlico",1,-0.139625122,true,51.49096258,false,243,23
false,"Colombo Street, Southwark",12,-0.10569204,true,51.50545935,false,240,3
false,"Barbican Centre, Barbican",17,-0.092176447,true,51.52004497,false,275,2
false,"Warwick Road, Olympia",31,-0.20528437,true,51.49671237,false,274,5
false,"Belvedere Road, South Bank",25,-0.114686385,true,51.50613324,false,273,13
false,"Baylis Road, Waterloo",11,-0.110699309,true,51.50144456,false,272,10
false,"North Wharf Road, Paddington",20,-0.176645823,true,51.51862243,false,279,5
false,"Tooley Street, Bermondsey",8,-0.07962099,true,51.5034938,false,278,9
false,"Kensington Church Street, Kensington",10,-0.191496313,true,51.50315739,false,277,5
false,"Lower Thames Street, Monument",22,-0.084985356,true,51.50930161,false,276,2
false,"Kingsway, Covent Garden",13,-0.118478757,true,51.51440928,false,283,3
false,"Royal London Hospital, Whitechapel",29,-0.059642081,true,51.51906446,false,282,12
false,"Smith Square, Westminster",18,-0.127575233,true,51.49580589,false,281,0
